congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 5.93, 100, 5.96, 100
cubic, 0.0001, 5.93, 100, 5.96, 100
cubic, 0.001, 3.98, 100, 5.96, 100
cubic, 0.01, 1.18, 100, 5.96, 100
cubic, 0.02, 0.65, 100, 5.96, 100
cubic, 0.05, 0.42, 100, 5.96, 100
cubic, 0.1, 0.29, 100, 5.96, 100
cubic, 0.15, 0.21, 100, 5.96, 100
cubic, 0.2, 0.18, 100, 5.96, 100
cubic, 0.25, 0.14, 100, 5.96, 100
cubic, 0.3, 0.11, 100, 5.96, 100
cubic, 0.4, 0.08, 100, 5.96, 100
cubic, 0.5, 0.03, 100, 5.96, 100
bbr, 1e-05, 5.73, 100, 5.96, 100
bbr, 0.0001, 5.72, 100, 5.96, 100
bbr, 0.001, 5.69, 100, 5.96, 100
bbr, 0.01, 5.71, 100, 5.96, 100
bbr, 0.02, 5.69, 100, 5.96, 100
bbr, 0.05, 5.67, 100, 5.96, 100
bbr, 0.1, 5.73, 100, 5.96, 100
bbr, 0.15, 5.73, 100, 5.96, 100
bbr, 0.2, 5.7, 100, 5.96, 100
bbr, 0.25, 5.62, 100, 5.96, 100
bbr, 0.3, 5.62, 100, 5.96, 100
bbr, 0.4, 5.29, 100, 5.96, 100
bbr, 0.5, 3.79, 100, 5.96, 100
