congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 95.04, 100, 100.27, 100
cubic, 0.0001, 27.31, 100, 100.27, 100
cubic, 0.001, 5.6, 100, 100.27, 100
cubic, 0.01, 1.18, 100, 100.27, 100
cubic, 0.02, 0.83, 100, 100.27, 100
cubic, 0.05, 0.52, 100, 100.27, 100
cubic, 0.1, 0.31, 100, 100.27, 100
cubic, 0.15, 0.24, 100, 100.27, 100
cubic, 0.2, 0.22, 100, 100.27, 100
cubic, 0.25, 0.17, 100, 100.27, 100
cubic, 0.3, 0.1, 100, 100.27, 100
cubic, 0.4, 0.06, 100, 100.27, 100
cubic, 0.5, 0.01, 100, 100.27, 100
bbr, 1e-05, 94.13, 100, 100.27, 100
bbr, 0.0001, 94.13, 100, 100.27, 100
bbr, 0.001, 89.74, 100, 100.27, 100
bbr, 0.01, 81.67, 100, 100.27, 100
bbr, 0.02, 76.94, 100, 100.27, 100
bbr, 0.05, 71.24, 100, 100.27, 100
bbr, 0.1, 68.14, 100, 99.4, 100
bbr, 0.15, 64.03, 100, 100.27, 100
bbr, 0.2, 58.85, 100, 100.27, 100
bbr, 0.25, 58.65, 100, 100.27, 100
bbr, 0.3, 54.23, 100, 100.27, 100
bbr, 0.4, 35.08, 100, 100.27, 100
bbr, 0.5, 7.88, 100, 100.27, 100
